YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2014,11,94000,13200,craigslist
2002,23,228450,2300,craigslist
2007,18,99910,7000,craigslist
2019,6,71286,19985,craigslist
2004,21,200000,4000,craigslist
2021,4,120770,17908,cargurus
2012,13,91698,11995,cargurus
2016,9,114621,13970,cargurus
2009,16,39800,12591,cargurus
2020,5,83049,22955,cargurus
2025,0,9113,33988,autotrader
2010,15,180000,5000,autotrader
2004,21,130101,6950,autotrader
2018,7,56709,18988,autotrader
2023,2,23986,27981,autotrader
