Date,Close/Last,Volume,Open,High,Low,Day
02/24/2020,63.01,1285434,63.48,63.83,62.2,0
02/25/2020,58.81,1685929,63.17,63.2086,58.66,1
02/26/2020,57.37,1813957,59.37,59.66,57.2,2
02/27/2020,52.96,2704849,54.79,56.68,52.91,3
02/28/2020,50.46,3535303,51.09,52.01,49.445,4
03/02/2020,50.03,3075018,50.85,51.3,48.38,5
03/03/2020,47.37,3415189,50.47,50.47,46.3,6
03/04/2020,49.69,3480573,48.19,49.71,46.57,7
03/05/2020,43.46,3859236,47.66,47.66,43.36,8
03/06/2020,45.21,5041787,41.5,48.4,41.4,9
03/09/2020,43.19,3413762,43.16,45.19,42.14,10
03/10/2020,46.78,3140020,45.31,47.69,43.37,11
03/11/2020,45.7,3185711,45.1,46.04,43.37,12
03/12/2020,35.08,4731514,40.11,43.4018,35.01,13
03/13/2020,37.95,3947823,38.1,38.1,33,14
03/16/2020,32.53,4456887,32.02,34.4,28.92,15
03/17/2020,32.53,3707614,33.06,36.2,31.28,16
03/18/2020,25.13,5067377,29.53,30.04,20.02,17
03/19/2020,24.18,2901109,24.7,25.99,22.01,18
03/20/2020,23.56,4062514,25.71,27.97,23.34,19
03/23/2020,24.03,3694649,24,24.98,22.15,20
03/24/2020,28.91,4750648,29.44,31.26,27.38,21
03/25/2020,29.84,7739353,33.56,34.25,28.36,22
03/26/2020,32.49,4919675,31.91,33.37,30.02,23
03/27/2020,29.87,3546910,31.73,31.9,29.78,24
03/30/2020,28.33,2841735,29.13,29.95,26.55,25
03/31/2020,28.47,2668409,28.96,30.705,28.13,26
04/01/2020,26.35,3350013,26.92,27.55,25.25,27
04/02/2020,24.66,3065198,26.14,27.02,24.28,28
04/03/2020,24.69,2707499,25.16,25.65,23.58,29
04/06/2020,26.67,3724657,26.04,27.27,24.92,30
04/07/2020,29.03,3766820,29.34,31.77,28.54,31
04/08/2020,29.14,2940051,30.2,30.32,28.95,32
04/09/2020,31.61,4210881,31.24,33.605,30.385,33
04/13/2020,29.51,3181769,32.63,32.86,28.6108,34
04/14/2020,31.05,2789864,30.58,31.92,30.4196,35
04/15/2020,30.08,4252965,32.24,32.42,29,36
04/16/2020,28.26,3274707,29.24,29.45,27.51,37
04/17/2020,29.93,2491824,29.69,30.28,29.31,38
04/20/2020,29.23,1812479,28.94,29.96,28.13,39
04/21/2020,28.29,1884229,27.8,29.19,27.61,40
04/22/2020,27.53,2600459,29,29.23,27.02,41
04/23/2020,28.2,2399870,28.01,28.98,27.75,42
04/24/2020,28.01,3055151,28.56,28.82,27.205,43
04/27/2020,27.85,2766597,28.34,29.26,27.7,44
04/28/2020,31.58,3954692,28.89,32.25,28.704,45
04/29/2020,34,4002548,34.06,34.72,32.72,46
04/30/2020,32.52,2678752,32.78,33.5,31.4,47
05/01/2020,30.11,2392729,31.41,31.85,29.6,48
05/04/2020,28.77,4457742,27.12,28.9,26.56,49
05/05/2020,28.97,3958502,29.72,30.37,28.41,50
05/06/2020,27.83,2994853,28.88,29.0599,27.2,51
05/07/2020,28.25,2910461,28.06,29.09,27.8,52
05/08/2020,30,2771952,28.77,30.16,28.56,53
05/11/2020,28.36,3003804,29.48,29.49,28.24,54
05/12/2020,26.85,2983646,28.46,28.99,26.82,55
05/13/2020,25.52,3449112,26.56,26.655,24.8,56
05/14/2020,26.14,3507227,24.42,26.18,23.39,57
05/15/2020,25.63,2787220,25.65,26.58,25.15,58
05/18/2020,29.05,4334521,27.67,29.5,27.08,59
05/19/2020,28.66,3189434,29.61,29.96,28.04,60
05/20/2020,30.26,2676458,29.35,30.47,29.12,61
05/21/2020,31.84,3278588,30.36,32.19,30.21,62
05/22/2020,31.02,2888349,32.32,32.61,30.32,63
05/26/2020,35.03,4605514,33.58,35.44,33.32,64
05/27/2020,35.74,5503562,38.53,39.47,34.4301,65
05/28/2020,34.46,3276719,35.88,36,34.03,66
05/29/2020,34.19,3563139,33.19,35.12,32.7751,67
06/01/2020,36.11,2894679,34.38,36.58,34.0481,68
06/02/2020,36.2,3472768,37.05,37.4,35.63,69
06/03/2020,39.3,4512960,37.28,40.6287,37.22,70
06/04/2020,42.32,6768554,41,43.41,39.5666,71
06/05/2020,42.72,9436950,47.84,48.66,41.81,72
06/08/2020,50.24,13224950,45.9,50.81,45.25,73
06/09/2020,46.1,7384379,48.06,48.479,44.01,74
06/10/2020,41.48,8580760,44.26,44.26,39.8101,75
06/11/2020,35.59,6825281,36.11,38.125,35.18,76
06/12/2020,38.47,6102229,39.72,39.8,36.33,77
06/15/2020,37.77,5533694,35.62,38.57,35.38,78
06/16/2020,38.21,5076343,40.51,40.8,37.77,79
06/17/2020,37.41,2490236,37.61,38.175,36.75,80
06/18/2020,37.45,3391234,36.58,37.84,36.13,81
06/19/2020,36.29,3873108,38.33,38.35,35.51,82
06/22/2020,36.47,2919174,35.5,36.79,35.23,83
06/23/2020,36.83,2825077,36.87,37,35.63,84
06/24/2020,34.39,3475455,36.08,36.34,34.3,85
06/25/2020,35.48,3049709,33.24,35.68,33,86
06/26/2020,34.3,3578722,35.45,35.65,33.51,87
06/29/2020,36.91,3558277,34.73,37.12,34.0625,88
06/30/2020,36.26,3098813,36.44,36.81,35.32,89
07/01/2020,35.7,3146783,37.18,38.2892,35.5,90
07/02/2020,36.49,2753481,37.2,37.49,36.271,91
07/06/2020,37.08,2133107,37.34,37.9,36.03,92
07/07/2020,36.1,2687492,36.22,36.55,35.6485,93
07/08/2020,36.26,2143209,35.6,36.34,35.165,94
07/09/2020,34.44,2178037,36,36.12,34.38,95
07/10/2020,35.73,2016414,34,36.04,33.62,96
07/13/2020,34.88,2249091,35.95,36.13,34.63,97
07/14/2020,35.49,1734475,34.27,35.85,34.13,98
07/15/2020,38.76,3519627,37.58,38.9391,36.89,99
07/16/2020,37.28,1743656,37.77,38.23,36.81,100
07/17/2020,37,1147013,37.25,37.52,36.5801,101
07/20/2020,35.89,1892734,36.62,37.32,35.56,102
07/21/2020,36.2,1644648,35.89,36.69,35.75,103
07/22/2020,36.3,1781143,35.92,37.31,35.7201,104
07/23/2020,36.67,3276532,36.45,37.95,34.85,105
07/24/2020,35.06,2781094,35.64,36.38,34.68,106
07/27/2020,34.15,2128931,35.02,35.44,33.88,107
07/28/2020,35,2243537,33.93,35.48,33.84,108
07/29/2020,34.76,1521253,35.12,35.35,34.3,109
07/30/2020,34.66,1695121,34.1,35,33.89,110
07/31/2020,34.44,2226263,34.21,34.59,33.65,111
08/03/2020,34,2632925,34.09,34.6051,33.22,112
08/04/2020,34.3,2277039,34.01,35.02,33.95,113
08/05/2020,35.76,3070588,35.39,36.04,34.4134,114
08/06/2020,36.42,2586152,35.75,36.69,35.33,115
08/07/2020,36.61,1588481,36,36.6313,35.79,116
08/10/2020,39.25,3807191,36.98,39.47,36.96,117
08/11/2020,38.98,3604075,40.9,41.05,38.67,118
08/12/2020,38.46,2187144,39.53,39.74,37.57,119
08/13/2020,37.79,1802726,37.8,38.96,37.55,120
08/14/2020,37.68,1871962,37.06,38.05,36.85,121
08/17/2020,36.26,2085836,37.48,37.63,36.1716,122
08/18/2020,36.19,1456767,36.55,36.85,35.83,123
08/19/2020,35.85,1966945,36.32,37.61,35.785,124
08/20/2020,35.77,1362916,35.5,35.99,35.04,125
08/21/2020,35.43,1370222,35.85,36.25,35.385,126
08/24/2020,37.52,2584574,35.77,37.695,35.44,127
