Date,Close/Last,Volume,Open,High,Low
02/21/2025,$70.18,3761163,$75.66,$75.75,$69.59
02/20/2025,$75.36,2256427,$76.28,$76.98,$74.37
02/19/2025,$76.60,2885410,$74.95,$78.08,$74.75
02/18/2025,$75.34,1773528,$75.12,$75.74,$74.534
02/14/2025,$75.74,2296820,$72.89,$75.76,$72.21
02/13/2025,$72.54,3271973,$73.89,$75.21,$69.36
02/12/2025,$73.78,1846665,$72.76,$74.6664,$72.359
02/11/2025,$72.85,2209046,$74.49,$74.745,$72.735
02/10/2025,$75.06,2618153,$75.75,$76.45,$74.15
02/07/2025,$75.92,3076050,$74.97,$76.33,$74.11
02/06/2025,$74.41,2508707,$75.05,$75.54,$73.67
02/05/2025,$74.91,2289936,$75.54,$75.785,$74.35
02/04/2025,$75.55,2710281,$73.91,$75.98,$73.48
02/03/2025,$73.49,2970851,$71.06,$74.86,$71.00
01/31/2025,$73.25,2981051,$73.92,$74.70,$72.92
01/30/2025,$74.43,2601609,$71.86,$74.65,$71.86
01/29/2025,$72.20,2392128,$71.70,$72.89,$71.63
01/28/2025,$71.41,2659213,$70.10,$71.58,$70.00
01/27/2025,$70.46,2986558,$69.26,$71.63,$69.15
01/24/2025,$69.95,2781650,$69.29,$70.22,$67.45
01/23/2025,$68.85,6497203,$69.76,$71.70,$67.82
01/22/2025,$67.40,4400034,$69.90,$70.21,$67.05
01/21/2025,$68.88,2300970,$67.49,$68.89,$66.76
01/17/2025,$66.34,2137776,$67.95,$67.95,$66.12
01/16/2025,$67.42,1933598,$66.95,$67.52,$65.82
01/15/2025,$66.66,2552921,$68.23,$68.50,$66.5903
01/14/2025,$67.44,2631103,$67.44,$68.28,$66.95
01/13/2025,$66.47,2959848,$67.43,$67.47,$65.33
01/10/2025,$68.18,3701992,$68.89,$69.10,$66.51
01/08/2025,$66.29,1777495,$65.30,$66.86,$64.6601
01/07/2025,$65.52,4309769,$65.89,$66.515,$64.96
01/06/2025,$64.40,2628580,$64.50,$65.7699,$64.30
01/03/2025,$63.98,2442241,$64.30,$64.50,$62.82
01/02/2025,$64.30,1552252,$64.80,$65.17,$63.80
12/31/2024,$64.75,1444126,$64.80,$65.46,$64.4291
12/30/2024,$64.87,2379116,$64.93,$65.49,$64.27
12/27/2024,$65.83,6523293,$66.39,$66.71,$65.17
12/26/2024,$67.02,1278438,$66.81,$67.68,$66.6877
12/24/2024,$67.60,1032613,$67.46,$67.73,$66.67
12/23/2024,$67.47,2425667,$65.68,$67.505,$65.68
12/20/2024,$66.02,7046837,$64.44,$66.81,$64.27
12/19/2024,$64.97,3066447,$62.98,$65.24,$62.81
12/18/2024,$62.44,3369672,$63.15,$64.61,$62.25
12/17/2024,$63.20,3475215,$63.00,$63.52,$62.50
12/16/2024,$63.40,3109327,$62.46,$63.415,$62.03
12/13/2024,$62.57,3724012,$63.15,$63.61,$62.17
12/12/2024,$63.42,5150484,$64.70,$65.62,$63.10
12/11/2024,$64.09,5102652,$62.00,$65.28,$61.86
12/10/2024,$61.29,7566217,$61.45,$63.90,$60.0301
12/09/2024,$54.16,2504728,$54.58,$54.92,$53.55
12/06/2024,$54.34,2211952,$56.35,$56.475,$54.0801
12/05/2024,$55.88,2880184,$55.60,$56.95,$55.27
12/04/2024,$54.41,1647868,$53.71,$54.66,$53.1201
12/03/2024,$52.55,2154980,$53.30,$53.685,$52.47
12/02/2024,$53.16,1640987,$52.54,$53.43,$51.815
11/29/2024,$52.60,649334,$52.66,$52.94,$52.40
11/27/2024,$52.68,934808,$52.93,$53.18,$52.51
11/26/2024,$52.93,1145688,$53.40,$54.1399,$52.905
11/25/2024,$53.44,1805848,$53.24,$53.78,$52.74
11/22/2024,$52.42,1374216,$52.30,$52.67,$52.00
11/21/2024,$52.30,1234818,$53.06,$53.26,$52.202
11/20/2024,$53.14,1641824,$53.08,$53.375,$52.15
11/19/2024,$53.08,1495793,$52.04,$53.21,$51.77
11/18/2024,$52.83,2646357,$53.19,$53.94,$52.51
11/15/2024,$53.96,2201951,$52.93,$54.01,$52.93
11/14/2024,$52.88,2789476,$52.59,$53.6697,$52.21
11/13/2024,$51.67,2407835,$51.47,$52.70,$51.26
11/12/2024,$51.45,1341381,$51.50,$51.95,$50.68
11/11/2024,$51.85,2498469,$51.59,$52.185,$50.90
11/08/2024,$51.00,1443592,$51.30,$51.60,$50.59
11/07/2024,$50.99,1862891,$51.50,$52.15,$50.99
11/06/2024,$51.62,3085413,$49.66,$51.905,$49.525
11/05/2024,$48.56,1415479,$47.29,$48.73,$47.29
11/04/2024,$47.23,2611313,$48.83,$49.05,$47.23
11/01/2024,$49.23,3632444,$48.64,$49.345,$48.06
10/31/2024,$47.91,4086605,$47.25,$50.16,$47.21
10/30/2024,$47.27,1879047,$46.60,$47.46,$46.50
10/29/2024,$46.93,1928947,$46.36,$47.41,$46.30
10/28/2024,$47.10,1836213,$46.97,$47.45,$46.75
10/25/2024,$45.54,1356980,$45.83,$45.97,$45.29
10/24/2024,$45.61,2128651,$46.00,$46.62,$45.21
10/23/2024,$45.83,1922091,$45.62,$45.97,$45.313
10/22/2024,$45.98,1639953,$46.04,$46.04,$45.485
10/21/2024,$46.04,3372896,$45.02,$46.25,$45.02
